feature,mean_importance
t,-0.0024736398510310843
u,-0.0023090272312578765
.,-0.002016685708709365
/,-0.0016824980170829784
Q,-0.001524666941684183
j,-0.0014192036908605488
E,-0.0009564547849737704
o,-0.000748783241147577
h,-0.0005127366781234377
;,-0.0004920968361522337
Y,-0.00042070707030916754
O,-0.00038726546971692424
<,-0.0002062876950139181
T,-0.000194821508034404
2,-0.00019110953289527277
 ,-0.0001707995352537406
U,-0.00013310706615445866
&,-6.345712620270394e-05
0,-1.0372130767133392e-05
Z,-2.9148640839693484e-06
	,0.0
¢,0.0
ñ,0.0
ô,0.0
,0.0
},0.0
’,0.0
ë,0.0
,0.0
,0.0
^,0.0
ó,0.0
+,0.0
,0.0
æ,0.0
ü,0.0
`,0.0
û,0.0
à,0.0
è,0.0
$,0.0
X,0.0
%,0.0
í,0.0
_,0.0
>,0.0
#,0.0
¡,0.0
‘,0.0
»,0.0
«,0.0
Ó,0.0
ð,0.0
ý,0.0
,0.0
£,0.0
½,0.0
·,0.0
É,0.0
ö,0.0
ç,0.0
~,0.0
Õ,0.0
á,0.0
@,0.0
{,0.0
[,0.0
],0.0
ã,0.0
ï,0.0
å,0.0
=,0.0
“,0.0
),0.0
ê,0.0
´,0.0
,0.0
ä,0.0
ú,0.0
w,5.757290384655889e-07
8,1.2707036474512989e-05
4,1.6734035118814994e-05
I,4.190202640457219e-05
6,8.19992708123607e-05
L,0.00012197686278303532
P,0.00015526406661325876
y,0.00015571245421537317
z,0.00021873155884122308
c,0.00025262342328613574
é,0.00027549120654233315
W,0.00029581983193112117
1,0.0002973773790442724
:,0.00034394936457928795
K,0.00035155433675519986
7,0.00036524617671971347
(,0.00036740604690888023
S,0.0004181062138599367
v,0.00048544258138412123
g,0.0005281937122345148
F,0.0005597745750261617
N,0.0006255666743154364
R,0.0006589895849642869
x,0.0006957888655040989
e,0.0007448997523474166
5,0.0009555683446967223
d,0.0009669211377268505
G,0.00097874830080118
V,0.0010660071010175187
A,0.0010693238714467145
!,0.0010885020598121909
q,0.0011808649768000556
H,0.0012183072541070983
r,0.0012921857315561613
3,0.0014499438793763141
C,0.0014824415341667674
p,0.001765718859175025
k,0.0018412770706674798
f,0.0018781733305558435
-,0.0019553999227026387
*,0.0022564288740573035
D,0.0022602623130964393
",",0.0024173177402952773
m,0.0024401101184928107
i,0.002474016453908856
9,0.0027329638315284122
',0.0027735136306804354
s,0.0028037626846977083
M,0.0028281632117603595
"""",0.002879506365112672
B,0.0040752351076706935
l,0.004108985605447213
J,0.005683605733125141
n,0.00601425120623218
b,0.006162244610164525
a,0.008854644073092444
?,0.03320435739600143
