feature,mean_importance
;,-0.0115500784500298
A,-0.0045508385923137325
+,-0.003017837174946303
P,-0.002838944985987557
D,-0.0027416106157794216
M,-0.002571038011376725
V,-0.0025212385782821256
u,-0.002073828963188906
l,-0.0018741681657535425
%,-0.0018510861920897792
S,-0.001624834941213771
Y,-0.0015055098340988726
0,-0.0011919830608080107
6,-0.0010742378487589078
3,-0.0010691657817807122
é,-0.000916234040179309
í,-0.0008586548297964125
",",-0.0006961780736128853
J,-0.0006491191826502041
H,-0.0006184383443309516
z,-0.00048563022713115077
q,-0.00048214281047689325
\,-0.0004238624370016764
F,-0.00039698282592153243
7,-0.00037863612559960733
@,-0.00035841474079272294
á,-0.00032587246436550644
ï,-0.00030053489975179204
1,-0.0002337067080644184
],-0.00020663427809173296
[,-0.00020663427809173296
ß,-0.00018286107549025932
9,-0.0001582950487374113
U,-0.00015752340033912127
_,-0.00013853614963013072
L,-0.0001343194648793844
=,-0.00012341947503722306
W,-9.500388477008403e-05
^,-6.675512328928601e-05
I,-3.883639173400955e-05
à,-1.1543303604466536e-05
#,-9.221705362327803e-06
…,0.0
»,0.0
«,0.0
ð,0.0
è,0.0
£,0.0
½,0.0
·,0.0
ö,0.0
â,0.0
ç,0.0
,0.0
ô,0.0
´,0.0
ê,0.0
Á,0.0
ì,0.0
ú,0.0
ü,0.0
å,0.0
	,0.0
ã,0.0
ë,0.0
–,0.0
ñ,0.0
,0.0
ä,0.0
Þ,0.0
,0.0
G,2.4482366780542717e-07
K,1.7547975405207695e-06
B,3.16941875764476e-05
,4.086632019066894e-05
!,7.616284242877303e-05
C,0.0001105665774177922
ó,0.00011443669597188677
:,0.0003274219009852697
Q,0.00036902236048843575
Z,0.0004308449322191654
8,0.0004533765441115722
~,0.0005351546720032463
X,0.0005844232682852057
r,0.0007086330488729863
&,0.0009301168755703415
,0.0009932112880255196
`,0.001142393947926834
x,0.0012060404153837467
<,0.001284658715817777
/,0.0013340705765292338
4,0.0013888320619070526
>,0.001402672427058782
N,0.001769052094665713
,0.002254503363299687
},0.0025313595932808576
{,0.0025313595932808576
f,0.002722347408660686
T,0.002862555939810596
2,0.002931832212390617
5,0.003044426567036562
a,0.0032673269288842955
j,0.003499175286373002
$,0.0037228489065201263
*,0.004851737013813473
c,0.00654823635778079
R,0.006751002108299908
E,0.0071391537830330035
',0.007154156338388185
"""",0.007998917914035198
w,0.008847434391644992
n,0.00895791807035744
),0.010750697694037758
-,0.012531002542944236
v,0.014374290615278885
k,0.01614043948540691
m,0.017198224110330652
O,0.017254524729620257
(,0.019584349993113426
.,0.022555008463787486
h,0.024073114891956803
p,0.026331542526191208
y,0.027662583870890423
?,0.029751659275179643
g,0.03127953731455513
d,0.0334653919477792
s,0.040801141429403345
e,0.1008266450322152
b,0.10380752578965062
o,0.11596208263146406
i,0.1666726431545929
 ,0.17266162993551368
t,0.23312475838886532
