feature,shap_importance
i,0.838565161553375
t,0.7893345059415354
e,0.6630576283232565
 ,0.6552451582154961
o,0.5066568645671286
b,0.497240196078169
s,0.4447371013530955
y,0.39868445869460106
h,0.37521780907591296
m,0.3693848745041111
g,0.24529958414518874
?,0.24032353183540459
d,0.2312006940083329
a,0.20956103697278475
f,0.19233178595074968
p,0.19121539940406823
.,0.1854202208174723
(,0.17987393507847796
),0.17511061847506998
O,0.17247052419290473
l,0.16543866516700795
k,0.15005240038792206
B,0.12680649620761653
R,0.12507788506244003
"""",0.12316408782739147
-,0.1173020566632388
w,0.11693613010839207
E,0.11622577151038899
v,0.11477344606591307
Y,0.10763660264674138
2,0.10524272988216912
D,0.09724263112362225
>,0.09478298163131282
P,0.0922201106155009
<,0.09214361688801474
;,0.08783977261051562
n,0.08611167285510493
',0.0801757272748609
W,0.07868650160141841
5,0.07427333852126447
c,0.0710094981192667
1,0.07086262087532096
A,0.06812365676729697
*,0.06767196855214404
z,0.06411740164589429
0,0.057137090459093175
V,0.057136392266275454
I,0.056740779794437944
u,0.05568860887206975
é,0.05466279049673418
S,0.053809189176634166
6,0.051537294327900274
7,0.04933283418672989
8,0.04762376109720159
T,0.04662107993403033
j,0.04365520767714477
N,0.04209674991356565
,0.04106745626055914
/,0.03860111873309853
U,0.03797821194347473
M,0.03761461171875297
x,0.030108777096384595
&,0.02439158681264437
H,0.02145868985105384
J,0.019045272405643358
4,0.01776673456773891
",",0.01676716345592158
+,0.01631336403899013
Z,0.015645119243884648
$,0.014519084687442849
q,0.014497986376976205
Q,0.013255430420291975
3,0.012917478338730675
%,0.012662719258433156
:,0.011905444177030919
r,0.0119052069069295
9,0.010599664856593038
!,0.00947774754760451
C,0.009311780763706926
F,0.008619497507628493
`,0.007706479884695677
{,0.007697532569215524
},0.007697532569215524
X,0.006438400760039695
,0.005229196099951087
á,0.004840140647557132
_,0.004773703577778762
,0.004216136111667303
´,0.0034436884918990908
à,0.0029473633902701826
L,0.0025078306726813715
ï,0.0022377324968550663
í,0.0022158027246614617
@,0.0019710180721921417
ü,0.0018279252235735709
è,0.0017273303027401001
=,0.0014725279495579424
–,0.0014417685175831224
,0.0013027367438010226
£,0.001239406062866126
~,0.0011145019323180918
ó,0.00090989016483432
ö,0.0007425690588366095
\,0.0007244386480022262
ô,0.0006938199853160423
ß,0.0006355428628124571
[,0.0006165108929428712
],0.0006165108929428712
G,0.0006123321156654565
·,0.0006038255900905086
^,0.0004948257110289253
ñ,0.00035020761031588437
,0.00025323964254533415
ä,0.00017386163655839
#,0.00016665863509167142
…,0.00016019650195367918
â,0.0001590097442695484
½,0.0001532046160477567
ê,0.00011556372669021194
K,0.00010716345221738644
ð,8.671151702491938e-05
Þ,8.671151702491938e-05
ç,5.754003176550832e-05
å,1.3190494003352143e-05
Á,7.748022814999111e-06
ì,0.0
ú,0.0
ã,0.0
«,0.0
»,0.0
ë,0.0
	,0.0
,0.0
