feature,mean_importance
h,-0.001563603055177043
c,-0.0013446244746536883
f,-0.0012253318754181786
a,-0.0010026573816378948
u,-0.0007914845913557622
r,-0.000745769160458365
m,-0.0006501407290725681
t,-0.0006188640854653205
s,-0.0005751124738182956
F,-0.000414491525684535
p,-0.00040945338172959644
K,-0.0002573462690527828
i,-0.00023840850023371107
d,-0.000217073143576596
0,-0.0002125163806174557
L,-0.00017940517283470124
R,-0.00017681456032947462
G,-0.00016834279763533466
O,-0.000160246588151014
H,-0.00015538037549600592
:,-0.00012263224268327377
z,-0.00012253860743181023
j,-0.0001045440149648913
S,-0.00010378577402161415
-,-9.872182713535071e-05
Q,-7.651441837592809e-05
"""",-6.500003326654901e-05
e,-5.5053095244717023e-05
2,-3.988239384009606e-05
 ,-1.1066312717988857e-05
W,-3.704335121823554e-06
,-2.08894164339668e-06
~,0.0
`,0.0
,0.0
ä,0.0
6,0.0
ï,0.0
X,0.0
é,0.0
´,0.0
%,0.0
è,0.0
à,0.0
Ö,0.0
4,0.0
*,0.0
=,0.0
ü,0.0
ó,0.0
#,0.0
@,0.0
_,0.0
^,0.0
{,0.0
[,0.0
],0.0
},0.0
,0.0
ë,0.0
ñ,0.0
	,0.0
í,0.0
ã,0.0
,0.0
á,0.0
Á,0.0
,0.0
!,0.0
¢,0.0
£,0.0
|,0.0
 ,0.0
»,0.0
«,0.0
),0.0
<,0.0
>,0.0
ō,0.0
U,0.0
½,0.0
1,0.0
\,0.0
ù,0.0
+,0.0
&,0.0
¡,0.0
ö,0.0
8,0.0
C,2.1013798553681795e-05
Z,5.969722449841175e-05
E,7.055171340089039e-05
5,7.337126309423515e-05
x,9.359626139202604e-05
Y,9.70482602052014e-05
n,0.00010416334584490982
l,0.00010537858018000446
;,0.00011819669692747503
/,0.00012153407807207195
.,0.00012243422141593462
(,0.00013057778669516295
P,0.00015502524309178866
o,0.00015592612172927734
3,0.00015985283484627467
A,0.00016800098735145764
V,0.0001797854864900472
",",0.0002066792670428974
$,0.00022453747425401626
T,0.00024527892754533376
y,0.00025740771352196213
q,0.00029179249631605675
M,0.00031745129956144423
N,0.00047864859420403415
w,0.000578806317356495
7,0.0006534376336190695
D,0.0007306714200254527
9,0.0008594258059126281
I,0.0010073539651586972
v,0.0011009501024321854
J,0.001226364433903826
g,0.0015195670623709746
B,0.0016116271238974856
k,0.0027330748609140755
',0.003509069366052953
b,0.004658765430554523
?,0.03152742454006106
