feature,mean_importance
z,-0.008903290097210493
Y,-0.006973906852470657
Z,-0.005838449610765228
1,-0.0035959662415182116
q,-0.002792237497775729
c,-0.002331319743320881
4,-0.0022881220897509325
0,-0.0021755629128499044
`,-0.002165553157103517
:,-0.0019434921931822612
x,-0.0019316089130659408
,-0.0018438550585280877
#,-0.0015260907003476598
5,-0.00146794268146766
U,-0.0014101565556801088
,-0.0010275003217422585
O,-0.0008784223075996911
8,-0.00036627836966096616
h,-0.00030367501484471757
",",-0.00029936910827659257
ñ,-0.00017550142778797185
@,-0.000160091210172153
£,-0.00011503067269271749
[,-6.94651178504202e-05
A,-6.88125716724608e-05
ê,-3.547887200399114e-05
ô,-3.3310840900169224e-05
ã,-1.899370057920624e-05
_,-1.1837785462676109e-05
,0.0
½,0.0
\,0.0
ō,0.0
·,0.0
,0.0
ý,0.0
õ,0.0
Ð,0.0
、,0.0
Ï,0.0
å,0.0
ë,0.0
,0.0
–,0.0
’,0.0
	,0.0
，,0.0
ú,0.0
ì,0.0
Á,0.0
û,0.0
“,0.0
”,0.0
§,0.0
â,0.0
Ö,0.0
ö,0.0
ù,0.0
ï,0.0
Ó,0.0
«,0.0
Ç,0.0
¨,0.0
­,0.0
¢,0.0
©,0.0
ª,0.0
¤,0.0
,0.0
י,0.0
ג,0.0
א,0.0
ל,0.0
כ,0.0
ר,0.0
מ,0.0
ו,0.0
ן,0.0
★,0.0
Ê,0.0
,0.0
ð,0.0
,0.0
¾,0.0
|,0.0
ø,0.0
…,0.0
,0.0
³,0.0
Ü,0.0
î,0.0
 ,0.0
‘,0.0
®,0.0
¡,0.0
ò,0.0
°,0.0
»,0.0
″,0.0
æ,0.0
Þ,0.0
Æ,0.0
ß,0.0
g,3.080506252304271e-05
X,7.010708123882381e-05
W,7.260191572320274e-05
á,0.00011598997317843195
É,0.00012479686435691307
^,0.00013997759958570555
],0.00015966415211927655
í,0.00016563988535609476
H,0.0001776430173236365
Õ,0.00019003328165636545
,0.000217005316240515
=,0.00021885572415674125
ó,0.00026045147496009944
è,0.00029087603757651517
ä,0.00029555280361162064
{,0.00032468602076489715
´,0.0003349510777928
ü,0.00034789055387629553
Q,0.00042333810182666466
6,0.0004341925349404363
 ,0.0004982736960798429
},0.0005499189470589139
à,0.0005601266034290564
,0.0006374900559716901
+,0.0006441883296377515
%,0.0006703280704945635
-,0.0006907886600426183
(,0.0007194568552205682
ç,0.0008270256296148082
"""",0.0008556334391403908
M,0.001082757512980148
<,0.0013477710980676517
R,0.0014551716885339515
~,0.0014771792174272935
$,0.0015842889890005595
),0.0016940450272326046
G,0.001705226970834328
n,0.0020678815412793925
&,0.00207900134479011
*,0.002167839879244915
j,0.0023344559314613543
/,0.0024205063222754175
;,0.0026902674541908088
L,0.0027014274456606422
3,0.0027294198024019334
K,0.002926809062904545
P,0.003117504506509272
!,0.0032708747437973917
D,0.0035951351052960767
B,0.003707345207428836
T,0.003834704236116182
w,0.0038446789740869125
>,0.00411441700654751
N,0.004139688569051803
9,0.00416514961258585
m,0.004284761909005263
E,0.0043954653225495525
S,0.0052488422355318805
V,0.005764746674592836
2,0.00615448081306873
u,0.006590398598185332
é,0.007232834577284697
7,0.007512371583285349
F,0.007537797287343872
J,0.008885321418779379
v,0.009021132634277573
I,0.011819207295935507
C,0.012278119663065667
.,0.013657189566737338
l,0.016356498213875394
',0.01691840190160976
?,0.018715500369705686
s,0.01873977678104788
r,0.02170897762229824
k,0.022858238672492436
t,0.026241817042456272
f,0.02672840413560349
a,0.03920584887695242
d,0.040709644850635954
p,0.057729239518189514
y,0.06748184764443355
o,0.08193247260174781
i,0.0834380289416778
e,0.09441190033931343
b,0.13957059884666845
