feature,shap_importance
?,0.04436076002246006
e,0.043286798149961864
b,0.03251789173807929
c,0.023798518832547275
E,0.01806897066630376
a,0.01709322165076608
i,0.011332312324446713
.,0.01116689377149994
o,0.009354540072577897
O,0.0084156729134383
y,0.008159684982955195
n,0.007980390485913574
V,0.0073568332108079944
p,0.0068809645349258534
I,0.006720985547126903
!,0.006690640999500607
F,0.006598507914521009
k,0.005989546768579435
S,0.0055232084418368336
"""",0.005486698357505118
t,0.005432750980399199
(,0.005274198861964157
d,0.005067440005584635
C,0.005036740044632179
',0.0048986717105772
",",0.004787265264950917
K,0.004242883665385746
;,0.004231725926521718
/,0.003979393189294646
0,0.003915846156999598
T,0.0038104713086741155
U,0.0037279949106728194
g,0.0037260663561959058
s,0.003048571036985099
L,0.0027608406910695805
u,0.002695223244417749
M,0.0023601117873876675
v,0.0022622641265931036
P,0.0021184013153808913
2,0.0020550321190227153
f,0.0019931660146252626
h,0.0019533448621166243
w,0.001805352492763244
>,0.0017357172172959819
z,0.00172349150198389
6,0.0017188342011241237
7,0.0017089909670453514
-,0.0017041160204694676
1,0.0016227836693944039
<,0.0015877790620356569
),0.0012630730088567979
 ,0.0012276294565782006
W,0.0011993044613096899
8,0.000940008701472819
é,0.0009050643015408148
A,0.0006440566627060473
R,0.0005679089102293032
{,0.0
=,0.0
X,0.0
ç,0.0
Q,0.0
`,0.0
,0.0
ó,0.0
,0.0
,0.0
í,0.0
ð,0.0
[,0.0
 ,0.0
Õ,0.0
},0.0
´,0.0
^,0.0
~,0.0
ê,0.0
á,0.0
#,0.0
@,0.0
],0.0
Þ,0.0
G,0.0
Z,0.0
%,0.0
r,0.0
l,0.0
m,0.0
:,0.0
J,0.0
x,0.0
j,0.0
D,0.0
5,0.0
B,0.0
Y,0.0
q,0.0
&,0.0
9,0.0
H,0.0
+,0.0
*,0.0
N,0.0
4,0.0
à,0.0
è,0.0
$,0.0
3,0.0
À,0.0
