feature,shap_importance
e,0.9348727793704161
b,0.7989143001846927
i,0.6520637087010894
t,0.5761702220967053
f,0.5434852699923873
a,0.5281077415287675
d,0.4798437458930539
p,0.3857200607129075
?,0.3225994524265111
y,0.28997506635613024
h,0.2813244465271089
r,0.2529739057648788
',0.2020668604138962
/,0.19012564935187712
g,0.18967320623201137
n,0.187898780652269
A,0.17715527510676007
(,0.17137388096134343
k,0.17112891777141873
v,0.16378967018351082
.,0.162083989627734
m,0.12893441273441134
w,0.11575081851586905
"""",0.11543884551222049
),0.10817569790272834
3,0.10769238820906059
2,0.1061702782119171
9,0.09758332658058766
o,0.09565842451421808
H,0.09460129575748005
7,0.09281879340104521
",",0.08949271470053606
l,0.08901944591043658
B,0.08148300151413498
0,0.07751232506642845
Y,0.07408679622502855
>,0.07065821739984728
P,0.07027044818143674
D,0.06703967781639036
O,0.06610463184042159
 ,0.06358552428809165
q,0.06258478295867496
M,0.056104985480569455
c,0.05355157398346935
I,0.052450590416114544
K,0.05207719675733414
4,0.048097161885968354
8,0.043381493234074926
s,0.0431015142320359
,0.04233341969904428
x,0.04029214658923103
$,0.03931323519664572
G,0.03828859692138495
J,0.03598632088076421
;,0.03572431649007302
U,0.03371154539330506
S,0.03315440585318895
R,0.03130348208800845
<,0.031202416612599808
j,0.030592178299442413
u,0.030074538516103425
é,0.028210088514137387
z,0.027912074309532776
F,0.02775913116891635
C,0.026483425684031472
!,0.025549238545857184
:,0.025209842769455076
%,0.021680681416004325
V,0.020824846249409303
T,0.019509011075853233
W,0.018379430620463322
Z,0.01833683004337018
L,0.015827541171702004
-,0.015461142570406617
,0.015286577539452508
#,0.014494691283620973
1,0.014216564337302742
_,0.012709252814337029
&,0.012607621125122256
,0.011536615624159719
5,0.009867135864006862
N,0.009602551198092325
Q,0.009533698103394826
*,0.007457842564254739
E,0.006059051263547465
^,0.005420783818908832
£,0.004921117913671614
6,0.004445524605339149
+,0.00427301095551918
X,0.004054047791830798
~,0.003859933913656198
=,0.0033688966536813913
»,0.0028728398920603282
«,0.0028728398920603282
´,0.002605400960364484
`,0.002489308774549532
ö,0.002229975571966761
á,0.001771486566224969
{,0.0014207644841432328
,0.0012786627644752867
},0.0011220803797578483
\,0.0010232384558186616
@,0.000990291726287702
è,0.0009580025801339859
ó,0.0009386565881121019
ï,0.0006449289807695767
ä,0.0006191069480047878
ë,0.0004906862891767814
[,0.00046473534303620526
],0.00046473534303620526
í,0.0004600147639355533
 ,0.0003370375844692088
à,0.00033610258091513627
Ö,0.00031227001998641147
|,0.00026035161716589334
ù,0.00024041349112626382
¡,0.0002340862599821377
ü,0.00019574723702608753
,0.00018325382253844664
½,0.0001152465529656997
¢,3.34747028726461e-05
ō,0.0
ã,0.0
	,0.0
ñ,0.0
Á,0.0
