feature,mean_importance
U,-0.0033704515851755933
,-0.0025203462552494615
$,-0.0020081093760155435
»,-0.001747476459200903
«,-0.001747476459200903
,-0.0017457941412908796
Z,-0.001589871634833373
^,-0.00147991225914752
4,-0.0014515274788338584
~,-0.001246571290405618
q,-0.0012372639627278748
,-0.0008670657735995624
R,-0.0008659834723748983
<,-0.000861733804964282
>,-0.0006990391201323831
V,-0.0005729465637584142
x,-0.0005705653570202473
é,-0.000559650140408463
F,-0.0005436525454916019
L,-0.0005120024711921855
=,-0.0005091112921523644
´,-0.00039730132387141295
E,-0.00037904877843626396
ó,-0.00037358351533680614
&,-0.00037159182908970135
-,-0.00030369785078627755
`,-0.00029793237402904184
;,-0.00023008963976542952
\,-0.0001470576010571323
6,-0.00012166302798195527
T,-9.13365180330139e-05
!,-7.352609360704588e-05
Q,-6.533319492301182e-05
è,-2.7361998693731237e-05
ä,-2.7099797985918882e-05
ë,0.0
í,0.0
ü,0.0
	,0.0
ñ,0.0
¡,0.0
¢,0.0
Á,0.0
|,0.0
 ,0.0
ō,0.0
£,0.0
½,0.0
ù,0.0
Ö,0.0
,0.0
ã,0.0
],0.0
[,0.0
,0.0
ï,2.5952695646713764e-05
á,5.0673037722237525e-05
X,6.603762297670012e-05
@,6.691867797845586e-05
5,9.696546887496548e-05
j,0.00010176631337512898
à,0.0001298072121620031
ö,0.00013463642548734446
u,0.00014820442475538265
s,0.0002367745412329647
M,0.0002446441240029795
Y,0.00025024113456819654
W,0.0002615162343230004
{,0.0002859985049976421
*,0.00030099915452739265
},0.0003273665685886495
1,0.0003686184063261599
K,0.00041473442779516034
8,0.0004766616245301503
N,0.0004965067224494746
#,0.0005796883148157184
+,0.0006542673129999565
 ,0.000684333325084574
C,0.0007696028284452039
z,0.0009493608745788195
S,0.000985578755990657
_,0.0010742715010049642
G,0.0011249837416684283
c,0.0011426874775743335
:,0.0013684433519848493
I,0.0014805650630324908
m,0.002158841280287871
J,0.0026344775124828913
(,0.002664500945587256
D,0.002680582350855687
P,0.0028934067316384927
l,0.0032592341044670237
o,0.0033351268071164287
H,0.003507127652527142
7,0.0037824751161255944
w,0.004122052070373461
"""",0.004746091162130028
O,0.005010504927095405
",",0.005058599336746283
0,0.005114156974892659
%,0.005346301461098224
),0.005649259645897109
/,0.006833365958776305
9,0.006906227959473021
2,0.007524489372516552
B,0.008123858451554833
3,0.00848766725587875
g,0.011194989363260178
v,0.011540129411028045
n,0.01280358909074979
A,0.013041790251103724
',0.013886028756593482
k,0.014566509260575322
.,0.0150724819886483
r,0.017734970039308618
y,0.02502129445703254
h,0.02683201057096114
?,0.02850149565704054
p,0.044945401648117445
d,0.06722435571634355
f,0.06984167155888836
a,0.0805174098123165
t,0.10392548215742563
i,0.12514751729800822
b,0.19775897040705168
e,0.2268120406054336
