feature,mean_importance
W,-0.10894622542351859
5,-0.07176317010466837
Q,-0.06426853854381225
",",-0.06334581277255262
S,-0.06166752164108402
L,-0.05774590616459126
>,-0.05658620529243441
/,-0.05026952840063661
<,-0.04755926901427454
w,-0.04749594211085806
D,-0.04005250958510707
V,-0.0399539153440386
2,-0.037609104917604344
j,-0.036387116227146035
C,-0.03561468423565532
b,-0.028130744141600994
0,-0.025361955916948765
B,-0.025138876811200594
K,-0.023445459420142978
J,-0.017656078417958153
t,-0.017475195451663695
q,-0.014418201346916204
é,-0.013400477032236546
M,-0.012318307952611952
I,-0.01211710140625133
Y,-0.0120833956003219
A,-0.010341657545848149
s,-0.009457169030378321
&,-0.009117191615752862
m,-0.008555411427155324
p,-0.007753900996474261
T,-0.00772539832397765
r,-0.0065330357758683014
4,-0.005834075489669121
:,-0.003170609062214824
),-0.0028749692562678674
Z,-0.0012605687267098985
*,-0.001182935488063297
},-3.5034460272243e-05
{,-3.4363477147758556e-05
è,-4.6451435864458546e-06
ó,-3.3461457249472916e-08
 ,0.0
Õ,0.0
´,0.0
ê,0.0
á,0.0
`,0.0
=,0.0
[,0.0
~,0.0
^,0.0
à,0.0
],0.0
%,0.0
À,0.0
Þ,2.508903307330002e-10
ð,7.592995432403881e-09
,2.8449924016626938e-08
@,4.025977858956864e-06
,9.969235805851185e-06
ç,1.0952538797859291e-05
í,7.136486418337639e-05
h,0.0021527204780765084
+,0.0032589570014367906
7,0.0037537338338804902
$,0.0038274843044444396
P,0.0038956565408995837
,0.004396025775392287
c,0.00486135487809447
!,0.00504322521541023
H,0.005526264360718747
a,0.006504769177252267
X,0.006879228622293088
 ,0.007039801132768498
n,0.007421995001968229
#,0.008548265384767939
e,0.010910325041861757
l,0.017763539410806883
z,0.01885748791827848
"""",0.02057076387524224
1,0.02088724727349689
f,0.022077276196044427
;,0.02485373806351987
',0.024992181794531464
-,0.025264089710097172
y,0.03031636616248896
i,0.03144251766408046
d,0.03216956978246244
u,0.032383497155262966
9,0.03261013677357294
o,0.0381191061785295
3,0.04510197006739314
g,0.0477081030405901
N,0.0480310591863327
(,0.04838056906699624
v,0.051098699827457274
8,0.05814173040192916
R,0.06398927258330356
G,0.0722578091513089
x,0.07232688997701091
E,0.09024306818479597
6,0.10403784492257637
k,0.11215793331278597
U,0.12840270815580804
.,0.22580509811902524
?,0.2427429830064484
F,0.2991213677815386
O,0.41098647339738353
