feature,mean_importance
.,-0.00036103634609041535
o,-0.00030378126766097415
/,-0.00027604658073787647
x,-0.00019841923391630267
;,-0.00016724075574763296
 ,-0.00016498377867590897
k,-0.00015530433651513852
g,-0.00013734902245849946
u,-8.132471870190284e-05
T,-7.411663800900303e-05
h,-6.814172643019312e-05
0,-4.8719451710699246e-05
8,-3.151329329940111e-05
2,-3.0657922274612835e-05
w,-2.3662166877547186e-05
H,-1.829799770645124e-05
6,-1.7183358427197425e-05
é,-1.4985610842876973e-05
,-1.1885248894882849e-05
Y,-6.2126419529073825e-06
O,-4.919992606478019e-06
,-4.8441502951801494e-06
$,-3.82257444555556e-06
X,-2.4569015527831085e-06
>,-7.469214479138842e-07
:,-1.402907255254604e-07
	,-8.881784197001253e-17
·,-8.881784197001253e-17
ü,-8.881784197001253e-17
¢,-8.881784197001253e-17
ñ,-8.881784197001253e-17
´,-8.881784197001253e-17
ë,-8.881784197001253e-17
á,-8.881784197001253e-17
«,-8.881784197001253e-17
ê,-6.661338147750939e-17
æ,-6.661338147750939e-17
ç,-6.661338147750939e-17
“,-6.661338147750939e-17
è,-6.661338147750939e-17
»,-6.661338147750939e-17
ú,-6.661338147750939e-17
ô,-6.661338147750939e-17
’,-6.661338147750939e-17
£,-6.661338147750939e-17
ð,-6.661338147750939e-17
û,-6.661338147750939e-17
{,-6.661338147750939e-17
@,-6.661338147750939e-17
},-6.661338147750939e-17
É,-6.661338147750939e-17
],-4.4408920985006264e-17
å,-4.4408920985006264e-17
Õ,-4.4408920985006264e-17
~,-4.4408920985006264e-17
ó,-4.4408920985006264e-17
,-4.4408920985006264e-17
,-4.4408920985006264e-17
ã,-4.4408920985006264e-17
ï,-4.4408920985006264e-17
ý,-4.4408920985006264e-17
¡,-4.4408920985006264e-17
½,-4.4408920985006264e-17
,-2.2204460492503132e-17
ö,-2.2204460492503132e-17
à,-2.2204460492503132e-17
,-2.2204460492503132e-17
í,-2.2204460492503132e-17
^,-2.2204460492503132e-17
=,-2.2204460492503132e-17
[,-2.2204460492503132e-17
Ó,-2.2204460492503132e-17
‘,-2.2204460492503132e-17
_,-2.2204460492503132e-17
<,6.128461380150441e-07
%,6.398198965307244e-07
`,2.4341157642826516e-06
#,3.467482442442993e-06
ä,3.4948016642610823e-06
+,3.877638493188229e-06
G,1.1378760296065771e-05
&,1.7854054717258982e-05
1,3.156586646722026e-05
i,3.3260426324988045e-05
7,3.474379969448105e-05
Q,4.5442676290674554e-05
E,4.676238605556548e-05
4,4.94245520981762e-05
A,5.870215860213079e-05
t,5.8802468149288246e-05
z,6.122710234117701e-05
U,6.304342290683885e-05
),6.692450671033078e-05
R,7.114950709603551e-05
L,7.347671717803373e-05
Z,8.125347269833938e-05
P,8.897078063205833e-05
(,9.281019605018592e-05
W,9.548234830016877e-05
3,9.794325021064143e-05
5,0.00010520725944425102
",",0.00011793451939412503
"""",0.00011794952743389153
!,0.00013710100773240975
N,0.0001507586167545094
m,0.00015276804882815575
e,0.00020682616636271688
d,0.00020683650721702306
-,0.00022797035243600218
r,0.00024187423467554315
9,0.0002639558086000804
y,0.00026907985801372103
V,0.00032000443850763725
*,0.0003232535956275706
j,0.0003489539071890535
q,0.0003573385892367886
v,0.0003921967125394943
c,0.0004662110001720565
K,0.0004921533661692568
F,0.0005047630104747736
s,0.0005066630254513038
D,0.00054620728409287
',0.0005768376022975863
S,0.000595925340398229
p,0.0006239142591917713
C,0.0006536777158216101
f,0.0008999017631772021
M,0.0009520633798912659
n,0.0009785541582070455
I,0.001114358318403097
B,0.001242340918276752
J,0.002517834165809596
l,0.0031670597973057603
a,0.0032308878243045847
b,0.004781832444393674
?,0.042442237681311945
