feature,shap_importance
?,0.071033494508023
b,0.033255140814267954
l,0.012531769348403715
a,0.012468071625570811
n,0.008191502010766977
B,0.008152526941291236
I,0.007671145342415282
J,0.006170565385552824
',0.006138804465588486
f,0.004855105867360682
C,0.004044917207210886
p,0.003919145736592162
j,0.003576294125424531
M,0.003507344340380141
"""",0.003392151132000257
D,0.0033559787827056333
t,0.0026241104164004304
.,0.002615524602534252
o,0.0026001935618431434
k,0.002589432773787232
F,0.002360265048692087
S,0.0017520553399108904
c,0.0017378988056617882
N,0.0016589894418126898
v,0.0016069419836717558
g,0.0014401326092622572
i,0.0014068281315029654
(,0.0013540164776778014
/,0.0013089332679077808
s,0.0012893960392534034
d,0.0012876850321344292
-,0.0012257606721925794
H,0.0012218858620089382
!,0.0012039600979300807
V,0.0011984417564065157
q,0.0011283210257138064
m,0.0010603621911001136
9,0.0010534757493810278
u,0.0010216856493807257
L,0.0009983055392349693
",",0.0009371551055486692
x,0.0009347287829254413
<,0.0008709689156298453
K,0.0007668820343910116
),0.0007651565341897584
r,0.0007573867755747906
 ,0.0007483159796457284
y,0.0007417426970494522
P,0.0007337581792273226
A,0.0006862069779273168
G,0.0006620711717676492
*,0.0006460771309814839
>,0.0006243453786958136
R,0.0005819510430364037
h,0.0004832990464177407
3,0.0004334282056760335
e,0.0004145735151801044
T,0.0004046189270366431
w,0.0004032779292659497
z,0.00037502597867347643
Q,0.0003594130892613831
W,0.0003417045793599519
5,0.0003251637901742045
4,0.00031157601631786594
7,0.000251028227852898
:,0.00022992552990519884
E,0.00021134980377939455
é,0.00020610290178612177
0,0.0001983397161593191
Y,0.00019379719150948582
U,0.00013166250440614633
6,0.00012235073300842633
O,0.00012130048885018868
;,0.0001033005338081487
Z,8.500734848050425e-05
2,7.26603638969219e-05
1,7.263303310028683e-05
,5.872172283891681e-05
8,5.577071418475334e-05
%,5.4942597836375995e-05
&,5.100281351889552e-05
`,4.4558569065635925e-05
+,2.9809307261629523e-05
X,2.947259243530527e-05
,2.2263676744742754e-05
$,1.7796335471433595e-05
½,8.276158041985752e-06
],7.862967584784229e-06
ä,6.6754550748001126e-06
@,5.964323112399917e-06
#,4.9672312168007e-06
{,4.237412990882778e-06
[,3.80211339493352e-06
},2.1605308356539137e-06
ó,0.0
è,0.0
=,0.0
ï,0.0
Õ,0.0
ç,0.0
ö,0.0
É,0.0
·,0.0
£,0.0
´,0.0
,0.0
ý,0.0
ð,0.0
Ó,0.0
«,0.0
»,0.0
‘,0.0
¡,0.0
æ,0.0
,0.0
“,0.0
ê,0.0
ü,0.0
,0.0
í,0.0
	,0.0
’,0.0
ñ,0.0
ô,0.0
,0.0
ë,0.0
^,0.0
_,0.0
~,0.0
à,0.0
û,0.0
ã,0.0
á,0.0
å,0.0
ú,0.0
¢,0.0
