feature,mean_importance
f,-0.0008894740753306208
",",-0.00018153129960110092
P,-0.00014696422379822938
 ,-0.0001246427991571153
w,-0.00010636863908686234
m,-9.535277957166688e-05
M,-8.12845714862398e-05
.,-7.18970553470033e-05
n,-5.113998831105526e-05
i,-5.0687849268626904e-05
:,-5.0471989461753354e-05
d,-4.106231606650912e-05
1,-2.5908879073455183e-05
T,-2.2914300988796656e-05
D,-2.1904765444169527e-05
"""",-1.4500469191336408e-05
E,-1.4123987847836084e-05
5,-1.2804346218531215e-05
A,-1.133046416930128e-05
),-1.0480913500043876e-05
R,-1.004955482679648e-05
q,-9.402245002432253e-06
v,-8.184049419757144e-06
9,-7.824647591725409e-06
>,-6.305149770713392e-06
o,-3.954592945176749e-06
G,-3.320970217690622e-06
Z,-4.898568476408016e-07
ô,-2.2204460492503132e-17
Á,-2.2204460492503132e-17
ê,-2.2204460492503132e-17
Õ,-2.2204460492503132e-17
É,-2.2204460492503132e-17
ª,-2.2204460492503132e-17
ר,-2.2204460492503132e-17
í,-2.2204460492503132e-17
、,-2.2204460492503132e-17
å,0.0
ù,0.0
Ï,0.0
ö,0.0
Ö,0.0
â,0.0
ç,0.0
ï,0.0
ä,0.0
,0.0
§,0.0
´,0.0
,0.0
”,0.0
“,0.0
Ç,0.0
ì,0.0
ú,0.0
¨,0.0
á,0.0
ã,0.0
],0.0
[,0.0
{,0.0
@,0.0
#,0.0
_,0.0
^,0.0
Ð,0.0
õ,0.0
·,0.0
\,0.0
Þ,0.0
æ,0.0
″,0.0
°,0.0
ò,0.0
¡,0.0
®,0.0
Æ,0.0
‘,0.0
Ü,0.0
¾,0.0
,0.0
…,0.0
³,0.0
ø,0.0
ß,0.0
 ,0.0
î,0.0
»,0.0
«,0.0
Ó,0.0
ð,0.0
,0.0
ý,0.0
,0.0
ō,0.0
£,0.0
½,0.0
|,0.0
ë,0.0
},0.0
,0.0
★,0.0
è,0.0
à,0.0
4,0.0
ו,0.0
¤,0.0
,0.0
,0.0
י,0.0
+,0.0
ג,0.0
א,0.0
מ,0.0
&,0.0
כ,0.0
0,0.0
Y,0.0
©,0.0
%,0.0
ן,0.0
­,0.0
ñ,0.0
–,0.0
’,0.0
<,0.0
	,0.0
，,0.0
,0.0
,0.0
¢,0.0
ó,0.0
ל,0.0
ü,0.0
`,0.0
û,0.0
Q,0.0
6,0.0
Ê,0.0
=,0.0
x,2.9189460373668654e-06
(,7.156541254671467e-06
N,7.70382840411532e-06
;,8.32794422358507e-06
L,9.257091031478204e-06
H,9.691503461195516e-06
O,1.0430840207908965e-05
/,1.4202097200555209e-05
j,1.5547351588862667e-05
u,1.700819929859598e-05
p,1.9111842650354482e-05
t,2.1342487015529877e-05
F,2.3663902935999736e-05
,2.4661239416290392e-05
k,2.6521012136404565e-05
e,2.8209482714958155e-05
y,3.090160518137708e-05
W,3.653382294590557e-05
$,3.657798292007186e-05
g,3.957929557183437e-05
K,4.265758801100805e-05
X,4.2745424940893174e-05
V,4.417346600988914e-05
~,6.443704737959521e-05
h,7.078192883631651e-05
7,7.315381595518478e-05
z,7.411105799721706e-05
-,7.744295809826162e-05
S,9.352774935122987e-05
c,9.500828620883084e-05
s,0.0001126954211930764
C,0.00011335752628471862
*,0.000151120308460051
8,0.00015468611399429565
é,0.00016318175750331675
2,0.0001675911061641333
U,0.00017643617972282755
3,0.0001858260084111496
I,0.00026216650535562105
a,0.00026903569097760374
!,0.00027546754774101514
',0.00034143436534008755
l,0.0005129299597560033
r,0.0006364302727309701
B,0.0007107125083853693
b,0.007167548277852443
J,0.007700584095271967
?,0.04362825027118748
