feature,shap_importance
?,0.08216287396703675
b,0.02387572397198004
J,0.020728213673921116
r,0.006061455086317805
f,0.005193430164134177
B,0.003938703503737716
l,0.0033651620374983674
i,0.003158414753589461
",",0.0021237277316396032
a,0.001985609444671727
',0.00143607634324547
m,0.0011566266655985947
n,0.0009848112042039282
s,0.0009044028718269103
k,0.0008545477510750307
!,0.0008542291402705782
z,0.0007912599005717423
C,0.0007723210169940056
p,0.0007601110519977054
t,0.0007526513974108678
2,0.0006793762860894934
7,0.0006439963012020122
U,0.0006047502700922191
I,0.0005900893413759068
é,0.0005443046731844265
D,0.0005263128913413129
P,0.0005035429523472194
*,0.0004888411181097975
y,0.0004848432566785225
3,0.00044156992248128667
M,0.0003678089664718094
G,0.0003549516416726993
d,0.00029955020508395453
F,0.0002914676785621872
K,0.0002726945690494924
u,0.0002680070269931551
S,0.00026503077038414415
e,0.00026453233794821
V,0.00025481502824579414
.,0.00024190712823932793
8,0.00023464368276188746
q,0.00022211646712610354
w,0.00021340849445949725
-,0.0001907872500705041
c,0.00017730601740552492
A,0.0001680233318909836
g,0.0001551633978542856
"""",0.00014400236095324934
O,0.00014099050953364755
 ,0.00013113041861739097
H,0.00012765451785757512
v,0.00012509468100368256
$,0.0001233846038072768
h,0.00012117325503817924
>,0.00010616667820997417
:,9.953968529410365e-05
/,9.773564016599073e-05
T,9.689327506306618e-05
L,8.127927376663907e-05
o,7.703070831575064e-05
j,7.463598077861013e-05
,7.323521347586162e-05
),6.849137865009249e-05
X,6.838566837300098e-05
W,5.782817742054583e-05
~,5.567639187316784e-05
1,5.316238827977723e-05
R,4.7981925033643014e-05
x,4.280061853253476e-05
9,4.069271862425293e-05
N,3.908436689111873e-05
;,3.6118034635917705e-05
(,2.1882149907363468e-05
Z,1.5594558598919453e-05
E,1.4079522868551723e-05
+,3.518177322812741e-06
5,3.4045445157792567e-06
6,3.3522388950189465e-06
î,2.070901770323156e-06
,0.0
ø,0.0
ò,0.0
¡,0.0
®,0.0
Æ,0.0
\,0.0
‘,0.0
Ü,0.0
¾,0.0
,0.0
…,0.0
|,0.0
ð,0.0
ß,0.0
½,0.0
 ,0.0
»,0.0
«,0.0
£,0.0
ō,0.0
Ó,0.0
,0.0
ý,0.0
°,0.0
,0.0
″,0.0
י,0.0
õ,0.0
ן,0.0
★,0.0
Ê,0.0
ו,0.0
מ,0.0
ר,0.0
כ,0.0
ל,0.0
א,0.0
ג,0.0
,0.0
æ,0.0
¤,0.0
ª,0.0
©,0.0
¢,0.0
，,0.0
­,0.0
¨,0.0
Ç,0.0
,0.0
³,0.0
Þ,0.0
·,0.0
	,0.0
É,0.0
ü,0.0
},0.0
ë,0.0
,0.0
ô,0.0
ñ,0.0
–,0.0
’,0.0
í,0.0
,0.0
,0.0
ó,0.0
`,0.0
_,0.0
û,0.0
Q,0.0
=,0.0
%,0.0
è,0.0
à,0.0
4,0.0
&,0.0
0,0.0
Y,0.0
<,0.0
^,0.0
#,0.0
Ð,0.0
´,0.0
ù,0.0
Ï,0.0
ö,0.0
Ö,0.0
â,0.0
ç,0.0
Õ,0.0
ï,0.0
ä,0.0
,0.0
§,0.0
ê,0.0
@,0.0
”,0.0
“,0.0
Á,0.0
ì,0.0
ú,0.0
å,0.0
á,0.0
ã,0.0
],0.0
[,0.0
{,0.0
、,0.0
