name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.693133569912184,2.1
2_DecisionTree,Decision Tree,logloss,0.6674340433273345,37.7
3_Linear,Linear,logloss,0.6359197775085859,10.48
4_Default_Xgboost,Xgboost,logloss,0.6424768741493639,20.79
5_Default_NeuralNetwork,Neural Network,logloss,2.501608852156649,7.92
6_Default_RandomForest,Random Forest,logloss,0.6492613460843198,42.9
Ensemble,Ensemble,logloss,0.6202234732149877,0.98
