feature,mean_importance
",",-0.022424692694258508
u,-0.015626495403754825
v,-0.012283374531064673
W,-0.01148388225766266
l,-0.007665932498138161
"""",-0.007179782540321522
),-0.006744680322816632
r,-0.006113628961360584
g,-0.005278391134630267
5,-0.005029777481714248
Q,-0.00499986549608884
G,-0.00416601949400588
:,-0.00407830226897894
s,-0.0033676175431002877
9,-0.002884159614397408
m,-0.0026448481744599794
w,-0.0026434411391332846
q,-0.0025553250968687767
P,-0.001974435684822984
,-0.0012914165536834776
z,-0.0011485113177322147
Z,-0.0009929928192510262
1,-0.0007558235816280901
x,-0.0007167516892997661
M,-0.000621771703838725
a,-0.00035194329993089025
 ,0.0
Þ,0.0
ð,0.0
ç,0.0
à,0.0
è,0.0
%,0.0
Õ,0.0
=,0.0
´,0.0
},0.0
`,0.0
ê,0.0
á,0.0
],0.0
[,0.0
{,0.0
ó,0.0
,0.0
@,0.0
~,0.0
^,0.0
í,0.0
À,0.0
;,0.00010817257545712167
,0.00018651015116981639
J,0.0002167097758017711
D,0.0002514667163873163
0,0.0005382631476186006
$,0.0007903626131035013
&,0.0008512332003721479
A,0.00098978718282432
Y,0.0011847831350091597
y,0.0013597397689093737
4,0.002112725971469609
>,0.0028150074351762865
<,0.0028150074351762865
+,0.0030798116287959363
 ,0.0032946862375709206
!,0.0037118218912098656
j,0.0038886626906178058
H,0.004085662757336151
X,0.004675146289421406
#,0.0052418139813309225
B,0.00569990312543085
R,0.006457543470571747
*,0.007543638966264088
2,0.007890109209184159
6,0.00958838831266846
8,0.012896246024033631
C,0.01344450036462208
/,0.013870673535676392
7,0.014345333294959395
n,0.01612440679385465
é,0.017364294125106337
.,0.01761935999637094
3,0.018872301254265998
V,0.019161123502070908
I,0.019355688210204926
(,0.021062255147337748
E,0.023587426982533976
U,0.02576319064750867
K,0.03260995071559451
p,0.04179118277225922
L,0.04229728992933597
t,0.04455778599842282
T,0.04882037615294994
-,0.061642485245063106
F,0.061854893775274464
',0.06401088241612127
e,0.06758870900020346
?,0.07059686810721062
f,0.07185286097057068
i,0.09262633170780661
N,0.09309460669328326
S,0.09595976298088886
O,0.10202232322659403
h,0.1053096345241971
d,0.1078775632317112
o,0.11068674953319443
c,0.16442006849357074
b,0.20711111932002782
k,0.21504151126919108
