feature,shap_importance
i,0.8419813159158744
b,0.8267924944846164
k,0.7789963072414631
e,0.7752572922771971
f,0.7620030418174888
c,0.7291492586777463
n,0.6024789949042811
o,0.5108047190014715
S,0.48799860384441646
h,0.45590654606960607
d,0.44333535253412376
',0.4396764216286917
O,0.4137481082325407
L,0.4048677586332281
F,0.36908207363619916
T,0.36807646455450116
-,0.36151490744214326
E,0.3491576638040146
",",0.34260531225145596
s,0.3282838885777457
V,0.30947113668841464
?,0.30907096168489173
p,0.3082929848672705
N,0.2879363688919883
j,0.28136973129499265
K,0.24769044973789142
W,0.2426367831437709
t,0.24015198279082717
7,0.22232739539686605
r,0.22219925213912883
3,0.21105092154969715
C,0.2099218806749563
/,0.20724713389624994
I,0.2011551228716482
U,0.19017485475470736
2,0.18073147685776544
(,0.17647736813017775
P,0.17248221394429297
u,0.16749293530615417
),0.16369217692117208
"""",0.1466174951333102
.,0.14311030210828296
q,0.1419417691851399
6,0.1348655934528242
!,0.1270860618475763
l,0.12562809054067992
v,0.11886628024957265
8,0.10721163011416646
H,0.0960393436275631
Y,0.09475130460371753
é,0.09169730576614767
B,0.09081064662029785
R,0.08904083926066422
>,0.08568226350031803
<,0.08568226350031803
D,0.08500067593120159
;,0.08389793081969284
0,0.08124165391465688
Q,0.07360986256649207
z,0.07148312166244532
5,0.06869634077215868
*,0.060943644854624744
x,0.06076409033503853
G,0.05655492759979988
A,0.05213463681914423
g,0.04847287578169518
9,0.0436882370193534
&,0.04088910271064375
m,0.040832484300526446
:,0.03263184981246934
X,0.032516060347114455
 ,0.03227364882420821
#,0.031697085233911786
1,0.03036634458401683
w,0.029570614241343662
y,0.02926400317113937
M,0.027720541255767693
4,0.02313199607434503
`,0.022069675843882693
$,0.012314450383495299
,0.011659824078969719
+,0.010241342662785318
Z,0.007369019153844097
%,0.005214972238861547
a,0.004178005510764252
Õ,0.003511278125349341
,0.003173271360203531
~,0.0021009122177969362
J,0.0018745434487603557
^,0.0016700255655380284
ê,0.0013727775841515762
´,0.0011870718864205908
á,0.0010372140818652679
=,0.0010150810275686363
 ,0.0008691541168950294
À,0.0008023604939714648
],0.00010272990449301534
[,0.00010272990449301534
à,8.752592755570462e-05
,0.0
{,0.0
@,0.0
è,0.0
},0.0
í,0.0
ç,0.0
ð,0.0
Þ,0.0
ó,0.0
