feature,mean_importance
w,-0.07392539868182287
j,-0.0684210878815236
x,-0.05410734013411593
í,-0.04188033914888525
W,-0.03674060193540747
M,-0.03450987985324385
(,-0.030450601386563213
t,-0.02850159645553916
m,-0.02630800606911645
y,-0.023483263276313428
;,-0.0204990668825638
,-0.01984025354073111
S,-0.018796532391042307
),-0.016283705894076662
I,-0.015727075145203707
2,-0.01375013994300911
*,-0.01309939224705392
,-0.012144404845419121
1,-0.010205509140479307
=,-0.009334601960338862
ñ,-0.008483487354382379
c,-0.008300353061599352
V,-0.007772444509543152
J,-0.0075312417996164175
´,-0.007425445541967157
:,-0.004464807729049447
8,-0.002737852299642363
ä,-0.00222030794832504
!,-0.001027452537337581
#,-0.0007522226273674271
ã,-2.0122925370458234e-08
’,0.0
è,0.0
»,0.0
«,0.0
Ó,0.0
¡,0.0
	,0.0
ð,0.0
û,0.0
‘,0.0
ï,0.0
,0.0
É,0.0
½,0.0
ê,0.0
“,0.0
ú,0.0
å,0.0
],0.0
ô,0.0
£,0.0
,0.0
æ,0.0
{,0.0
ý,0.0
^,0.0
Õ,0.0
ë,0.0
[,0.0
},0.0
¢,0.0
ç,6.209209406033977e-05
à,0.00014400998401811193
,0.0003524551475210913
ó,0.00035562154565411675
&,0.0007673350452494177
~,0.001123508661966799
·,0.001312905896939931
Z,0.0026659123727648115
ö,0.002736398527019901
6,0.005070756956619071
@,0.006496435271854129
E,0.006847199747104948
,0.007077610171611593
é,0.007776826432136019
$,0.008329734823368096
e,0.009830420014689523
F,0.01209014155247683
"""",0.012407272304185302
`,0.012651204794666259
u,0.01312275379864456
/,0.013179845097091913
>,0.014395179932049019
á,0.015069213708574215
9,0.017055236971877098
_,0.018414762666017204
ü,0.019693805583617774
<,0.021264056806261245
z,0.021873728465379473
Q,0.024177138778842887
q,0.026487773960417814
+,0.02660548034917367
n,0.031281939332753694
4,0.0317045742967891
%,0.03393941973190477
7,0.035699058470526346
-,0.03578978162226658
 ,0.03628714429340736
l,0.0376654653755704
X,0.037847732809524894
P,0.0418019000462448
K,0.04308648155342931
r,0.045012878259221976
T,0.04513459668257465
Y,0.04542219547825024
5,0.04833680489145742
3,0.05100732304708551
H,0.05208521478723096
G,0.053403016045581356
A,0.056251446761675705
0,0.059845227313241
h,0.06503759711097254
k,0.06997697727114165
L,0.07369654870837401
f,0.07379729547651301
B,0.0742042979526584
',0.07806571731681133
i,0.07895052243419158
D,0.08965299563607258
v,0.09249954046934299
C,0.10445208268928638
N,0.12365750166595771
.,0.12440832407037297
O,0.130911235401864
",",0.13932371673342886
R,0.13981469808990737
s,0.15063910367162342
U,0.16760269565092
a,0.18960292443980437
?,0.20755196592743852
o,0.24219068245700903
p,0.26013410199594433
d,0.2671278708962161
g,0.4035126025325953
b,0.5727813632946092
